Pos,P+,Artist and Title,Days,Pk,(x?),Streams,Streams+,7Day,7Day+,Total
18,=,陳卓賢 Ian - 留一天與你喘息,427,1,(x26),"19,957","+1,630","137,242","+2,700","10,450,780"
19,=,MC 張天賦 - 老派約會之必要,273,1,(x30),"19,813","+1,508","144,701",-161,"9,784,583"
20,=,MC 張天賦 - 世一,90,1,(x3),"18,990","+1,476","135,668",+882,"2,686,257"
21,+1,Dear Jane - 到底發生過什麼事,177,1,(x17),"18,629","+1,807","136,674",-817,"5,698,104"
22,-1,NewJeans - OMG,106,8,,"17,946",+840,"128,647",+892,"2,367,838"
23,+1,FIFTY FIFTY - Cupid - Twin Ver.,17,23,,"15,790","+1,005","105,382","+3,748","197,328"
24,-1,NewJeans - Ditto,120,1,(x2),"15,522",+617,"113,730",+151,"2,917,944"
25,=,Gareth.T - 國際孤獨等級,46,8,,"15,477","+1,251","112,804",+477,"1,074,056"
26,=,MC 張天賦 - 記憶棉,543,1,(x109),"15,181","+1,345","108,549",+12,"15,113,287"
27,=,陳卓賢 Ian - Distance,277,4,,"13,756","+1,075","97,359",+150,"5,363,957"
28,=,Miley Cyrus - Flowers,95,16,,"13,063",+607,"92,732",+862,"1,489,641"
29,+1,MC 張天賦 - 世一 (不可一世) (w/ Kiri T),63,13,,"12,815","+1,051","90,742","+1,169","1,031,105"
30,-1,Anson Lo 盧瀚霆 - 同居陌生人 (ViuTV劇集: 百萬同居計劃歌曲),126,8,,"12,479",+316,"89,231","-2,048","3,140,135"
31,+1,Jay Fung - 給缺席的人唱首歌,286,10,,"11,829","+1,059","84,482",+621,"3,023,158"
32,-1,NewJeans - Hype Boy,260,21,,"11,443",+464,"83,979",+413,"2,962,064"
33,+1,MC 張天賦 - 反對無效,683,2,(x77),"10,846",+961,"78,693",-90,"13,689,027"
34,-1,BLACKPINK - Shut Down,214,1,(x4),"10,578",+574,"69,921","+1,811","2,938,560"
35,=,陳卓賢 Ian - Got U,347,4,,"10,322",+747,"71,554",+892,"5,296,005"
36,=,MC 張天賦 - 時候不早,490,2,(x9),"10,313",+763,"72,665",+567,"9,026,655"
37,+1,SZA - Kill Bill,130,17,,"10,096",+878,"76,206",-852,"1,795,135"
38,+2,MC 張天賦 - 小心地滑,369,1,(x6),"9,946",+957,"70,733",+767,"6,506,295"
39,+2,Winka 陳泳伽 - 一手造成,39,21,,"9,837",+908,"71,601",+511,"480,319"
40,-3,FIFTY FIFTY - Cupid,29,36,,"9,618",+349,"69,787",+851,"204,623"
41,-2,JISOO - All Eyes On Me,18,9,,"9,608",+519,"75,082",-692,"246,537"
42,+1,BLACKPINK - Pink Venom,242,1,(x4),"9,435",+723,"61,601","+1,709","3,871,023"
43,+7,Post Malone - Chemical,4,43,,"9,273","+1,736","32,096","+9,273","32,096"
44,=,Dear Jane - 懷舊金曲之夜,63,17,,"9,053",+900,"65,933",+261,"809,560"
45,-3,Jimin - Like Crazy,24,14,,"9,031",+129,"68,379","-1,328","276,520"
46,-1,The Weeknd - Die For You (w/ Ariana Grande),35,21,,"8,777",+677,"60,598",+586,"349,397"
47,-1,IVE - After LIKE,239,7,,"8,576",+514,"56,904","+2,081","2,507,262"
48,-1,Hins Cheung - 賽勒斯的愛,340,4,,"8,525",+523,"61,506",+140,"4,590,509"
